,Year,Week_Nr,Open,High,Low,Volume,Close/Last
1257,2019,18,373.68,374.5753,369.115,3764911,371.83
1256,2019,18,369.56,374.5,368.348,3863973,370.54
1255,2019,18,374.0,385.99,373.1746,9257284,378.81
1254,2019,18,378.0,383.5,374.51,5398167,379.06
1253,2019,18,381.53,385.03,378.2717,5130301,385.03
1252,2019,19,377.69,381.35,376.0,5793144,378.67
1251,2019,19,377.0,379.91,365.81,6974924,370.46
1250,2019,19,367.92,369.0,361.36,6571957,364.37
1249,2019,19,360.9,364.2,352.75,5882572,362.75
1248,2019,19,361.62,365.2578,353.06,5657123,361.04
1247,2019,20,352.29,354.26,343.1,8026697,345.26
1246,2019,20,348.71,349.95,342.5,5353029,345.61
1245,2019,20,343.34,356.5,341.39,6340118,354.99
1244,2019,20,356.37,364.0,353.935,6441463,359.31
1243,2019,20,356.39,359.62,353.785,4725448,354.45
1242,2019,21,351.23,352.418,345.4,4621515,348.11
1241,2019,21,350.95,356.425,349.93,4026369,354.27
1240,2019,21,358.01,370.46,357.3,6229389,359.73
1239,2019,21,355.5,357.42,347.7,5630443,352.21
1238,2019,21,355.41,359.44,353.791,3830963,354.39
1237,2019,22,354.39,361.2,353.64,4717144,354.78
1236,2019,22,353.6,353.8476,345.9,5658913,349.19
1235,2019,22,350.55,354.21,348.3,4008042,351.85
1234,2019,22,347.22,349.34,342.92,5023449,343.28
1233,2019,23,343.56,347.66,332.65,7849589,336.63
1232,2019,23,345.0,353.61,343.25,7891632,353.4
1231,2019,23,354.38,357.88,348.71,5020081,355.73
1230,2019,23,354.84,358.21,352.09,3709955,357.13
1229,2019,23,357.39,365.15,355.69,4777321,360.87
1228,2019,24,363.65,367.1,349.285,7810261,352.01
1227,2019,24,355.0,357.58,348.5,5396712,351.27
1226,2019,24,351.82,353.61,343.23,4584704,345.56
1225,2019,24,347.23,348.5,339.25,6209347,343.43
1224,2019,24,341.63,343.4,336.155,5019011,339.73
1223,2019,25,342.69,351.77,342.06,5358219,350.62
1222,2019,25,355.57,361.5,353.75,5428542,357.12
1221,2019,25,361.72,364.74,356.12,5667156,363.52
1220,2019,25,365.91,370.12,361.215,5899467,365.21
1219,2019,25,365.0,371.45,365.0,7448356,369.21
1218,2019,26,370.27,375.0,370.2,4830240,371.04
1217,2019,26,370.75,370.9994,358.29,5750383,360.3
1216,2019,26,361.6,366.79,361.6,3669677,362.2
1215,2019,26,363.2,370.85,363.2,4138575,370.02
1214,2019,26,370.26,371.5448,364.87,4592706,367.32
1213,2019,27,373.5,376.66,372.0,5001518,374.6
1212,2019,27,374.89,376.0,370.31,3628962,375.43
1211,2019,27,376.69,381.99,375.84,3799009,381.72
1210,2019,27,378.29,381.4,375.555,3732162,380.55
1209,2019,28,378.19,378.25,375.36,3113402,376.16
1208,2019,28,379.06,384.76,377.5,6932822,379.93
1207,2019,28,382.77,384.3399,377.4,5878790,381.0
1206,2019,28,381.1,384.54,378.8,4336287,379.5
1205,2019,28,378.68,379.7375,372.7917,6636937,373.25
1204,2019,29,372.94,373.68,362.3,7944680,366.6
1203,2019,29,370.09,371.34,364.92,5863222,365.99
1202,2019,29,366.25,366.5,361.75,13639540,362.44
1201,2019,29,323.76,329.85,320.3,31305900,325.21
1200,2019,29,323.4,325.85,314.23,16302480,315.1
