Year,Week_Nr,Open,High,Low,Volume,Close/Last
2019,18,373.68,385.99,368.348,27414636,385.03
2019,19,377.69,381.35,352.75,30879720,361.04
2019,20,352.29,364.0,341.39,30886755,354.45
2019,21,351.23,370.46,345.4,24338679,354.39
2019,22,354.39,361.2,342.92,19407548,343.28
2019,23,343.56,365.15,332.65,29248578,360.87
2019,24,363.65,367.1,336.155,29020035,339.73
2019,25,342.69,371.45,342.06,29801740,369.21
2019,26,370.27,375.0,358.29,22981581,367.32
2019,27,373.5,381.99,370.31,16161651,380.55
2019,28,378.19,384.76,372.7917,26898238,373.25
2019,29,372.94,373.68,314.23,75055822,315.1
2019,30,312.0,336.0,305.81,60504218,335.78
2019,31,335.98,336.4,311.8,30915130,318.83
2019,32,310.96,316.64,296.8126,35448932,308.93
2019,33,305.46,316.43,288.0,36000377,302.8
2019,34,306.25,311.75,290.32,29301872,291.44
2019,35,295.24,299.93,287.1968,23810106,293.75
2019,36,290.82,293.97,282.785,22476754,290.17
2019,37,294.81,301.55,282.6629,39552994,294.15
2019,38,294.23,299.15,266.0,50465995,270.75
2019,39,268.345,273.39,252.28,56914199,263.08
2019,40,264.0,275.4846,257.01,42444267,272.79
2019,41,271.99,287.87,264.57,39721059,282.93
2019,42,283.93,308.75,273.36,93596601,275.3
2019,43,272.89,279.9399,265.8,41312842,276.82
2019,44,278.05,293.49,277.35,30634490,286.81
2019,45,288.0,298.19,285.84,23504899,291.57
2019,46,289.16,296.36,281.14,31831334,295.03
2019,47,296.0,312.69,293.28,33115251,310.48
2019,48,308.83,316.82,305.25,19720015,314.66
2019,49,314.39,314.39,298.81,24087684,307.35
2019,50,307.35,311.49,292.02,30508874,298.5
2019,51,300.85,338.0,298.63,46064651,336.9
2019,52,337.76,337.95,321.09,24450373,323.57
2020,1,326.1,329.98,324.78,8143959,325.9
2020,2,323.12,343.4196,321.2,26958122,329.05
2020,3,331.8,345.38,331.51,29738297,339.67
2020,4,340.0,359.85,323.6,72220250,353.16
2020,5,345.95,352.4,338.55,32738383,345.09
2020,6,347.24,375.25,346.28,28579017,366.77
2020,7,365.0,385.37,362.52,22913429,380.4
2020,8,379.3,392.95,376.68,18091811,380.07
2020,9,364.76,391.5624,356.8,44525057,369.03
2020,10,373.11,393.52,356.85,37744004,368.97
2020,11,343.86,364.54,307.32,42598471,336.295
2020,12,306.63,350.49,290.25,54637310,332.83
2020,13,347.89,372.93,339.17,49039022,357.12
2020,14,363.0,383.01,357.51,34114127,361.76
2020,15,365.22,381.33,361.71,29850534,370.72
2020,16,371.31,449.52,367.7003,65580050,422.96
2020,17,435.17,447.0,413.0,79579832,424.99
2020,18,425.0,429.0,393.6,42325680,415.27
2020,19,417.78,442.0,414.87,31450677,435.55
2020,20,436.33,455.0,427.27,33350276,454.19
2020,21,451.16,458.97,427.18,32737712,429.32
2020,22,427.77,428.5,397.86,29258099,419.73
2020,23,418.83,428.71,404.25,22069508,419.6
2020,24,416.0,445.57,406.5,31469340,418.07
2020,25,421.4,453.97,415.4238,26726361,453.72
2020,26,455.01,474.01,442.24,27985971,443.4
2020,27,445.23,492.28,432.14,25099878,476.89
2020,28,480.77,555.8799,479.8,46646673,548.73
2020,29,567.98,575.37,484.14,93039310,492.99
2020,30,489.14,506.22,467.54,43489887,480.45
2020,31,484.51,497.7927,477.5101,32994444,488.88
2020,32,490.86,510.82,486.68,25433893,494.73
2020,33,493.35,497.4584,466.55,23414074,482.68
2020,34,484.19,498.94,479.1,18139054,492.31
2020,35,495.438,549.04,483.16,44344013,523.89
2020,36,521.16,557.3895,485.98,37751453,516.05
2020,37,498.4,522.0,476.81,23696192,482.03
2020,38,480.62,504.66,458.6,29194542,469.96
2020,39,467.692,491.82,466.32,20162923,482.88
2020,40,489.109,529.55,477.88,27175676,503.06
2020,41,506.8,544.28,501.6997,26443533,539.44
2020,42,548.81,572.49,530.03,31964142,530.79
2020,43,537.07,541.8,481.35,46946180,488.28
2020,44,487.025,513.8999,472.21,34740580,475.74
2020,45,478.87,518.7337,475.0,22844866,514.73
2020,46,485.54,496.52,463.41,32264019,482.84
2020,47,480.0,494.76,477.3,17791459,488.24
2020,48,490.46,493.25,475.84,15378856,491.36
2020,49,490.08,509.47,481.2678,18114891,498.31
2020,50,500.01,521.4909,491.29,18926142,503.22
2020,51,505.44,536.37,501.18,20547094,534.45
2020,52,530.05,532.62,512.2104,9339632,513.97
2020,53,516.43,545.5,507.13,14182833,540.73
2021,1,539.0,540.8,499.5,19584886,510.4
2021,2,507.84,514.5,485.6701,24908389,497.98
2021,3,501.0,593.2877,493.5427,64344712,565.17
2021,4,567.0,569.75,515.73,31195695,532.39
2021,5,536.79,559.48,531.73,18028076,550.79
2021,6,555.0,566.65,543.0,15414199,556.52
