,Year,Week_Nr,Open,Close/Last,High,Low,Volume
1257,2019,18,373.68,371.83,374.5753,369.115,3764911
1256,2019,18,369.56,370.54,374.5,368.348,3863973
1255,2019,18,374.0,378.81,385.99,373.1746,9257284
1254,2019,18,378.0,379.06,383.5,374.51,5398167
1253,2019,18,381.53,385.03,385.03,378.2717,5130301
1252,2019,19,377.69,378.67,381.35,376.0,5793144
1251,2019,19,377.0,370.46,379.91,365.81,6974924
1250,2019,19,367.92,364.37,369.0,361.36,6571957
1249,2019,19,360.9,362.75,364.2,352.75,5882572
1248,2019,19,361.62,361.04,365.2578,353.06,5657123
1247,2019,20,352.29,345.26,354.26,343.1,8026697
1246,2019,20,348.71,345.61,349.95,342.5,5353029
1245,2019,20,343.34,354.99,356.5,341.39,6340118
1244,2019,20,356.37,359.31,364.0,353.935,6441463
1243,2019,20,356.39,354.45,359.62,353.785,4725448
1242,2019,21,351.23,348.11,352.418,345.4,4621515
1241,2019,21,350.95,354.27,356.425,349.93,4026369
1240,2019,21,358.01,359.73,370.46,357.3,6229389
1239,2019,21,355.5,352.21,357.42,347.7,5630443
1238,2019,21,355.41,354.39,359.44,353.791,3830963
1237,2019,22,354.39,354.78,361.2,353.64,4717144
1236,2019,22,353.6,349.19,353.8476,345.9,5658913
1235,2019,22,350.55,351.85,354.21,348.3,4008042
1234,2019,22,347.22,343.28,349.34,342.92,5023449
1233,2019,23,343.56,336.63,347.66,332.65,7849589
1232,2019,23,345.0,353.4,353.61,343.25,7891632
1231,2019,23,354.38,355.73,357.88,348.71,5020081
1230,2019,23,354.84,357.13,358.21,352.09,3709955
1229,2019,23,357.39,360.87,365.15,355.69,4777321
1228,2019,24,363.65,352.01,367.1,349.285,7810261
1227,2019,24,355.0,351.27,357.58,348.5,5396712
1226,2019,24,351.82,345.56,353.61,343.23,4584704
1225,2019,24,347.23,343.43,348.5,339.25,6209347
1224,2019,24,341.63,339.73,343.4,336.155,5019011
1223,2019,25,342.69,350.62,351.77,342.06,5358219
1222,2019,25,355.57,357.12,361.5,353.75,5428542
1221,2019,25,361.72,363.52,364.74,356.12,5667156
